Player,Nation,Pos,Squad,Age,MP,Min,Gls,Ast,Wage,pts
Kacper Przybyłko,POL,FW,Chicago Fire,28,25,1603,5,1,11.00004,39
Kadin Chung,CAN,DF,Toronto FC,23,8,450,0,1,0.655,34
Kai Wagner,GER,DF,Philadelphia,24,33,2950,0,8,5.1,67
Kalil ElMedkhar,USA,FW,FC Dallas,22,5,102,0,0,0.66724000000000006,53
Kamal Miller,CAN,DF,CF Montréal,24,27,2295,2,3,3,65
Kamil Jóźwiak,POL,FW,Charlotte,23,19,1151,0,3,9,42
Karol Świderski,POL,FW,Charlotte,25,30,2458,10,4,22,42
Kayden Pierre,USA,DF,Sporting KC,18,19,953,0,1,0.655,40
Keaton Parks,USA,MF,NYCFC,24,18,1025,2,0,5,55
Keegan Rosenberry,USA,DF,Colorado Rapids,28,34,2961,2,1,4,43
Kei Kamara,SLE,FW,CF Montréal,37,32,1561,9,7,0.84,65
Kellyn Acosta,USA,MF,Los Angeles FC,26,32,2549,2,4,11,67
Kelvin Leerdam,SUR,DF,LA Galaxy,31,10,479,0,0,3,50
Kelyn Rowe,USA,DF,Seattle,30,28,1307,1,1,2.75,41
Kemar Lawrence,JAM,DF,Minnesota Utd,29,27,2305,1,2,4,48
Kendall Burks,USA,DF,Chicago Fire,22,4,182,0,0,0.84,39
Kendall McIntosh,USA,GK,Sporting KC,28,2,180,0,0,1.2,40
Kervin Arriaga,HON,MF,Minnesota Utd,24,24,1892,1,0,0.84,48
Kerwin Vargas,COL,FW,Charlotte,20,13,633,0,0,3.5,42
Kevin Cabral,FRA,FW,LA Galaxy,22,33,1679,1,3,16.5,50
Kevin Molino,TRI,FW,Columbus Crew,31,11,441,1,0,7.00348,46
Kevin O'Toole,USA,FW,NYCFC,23,3,270,0,0,0.655,55
Khiry Shelton,USA,FW,Sporting KC,28,24,1407,1,1,3.5,40
Kieran Gibbs, ENG,DF,Inter Miami,32,15,635,0,0,3.7,48
Kimarni Smith, ENG,DF,D.C. United,23,17,358,1,1,0.85444,27
Kipp Keller,USA,DF,Austin,21,6,318,0,0,0.84,56
Koa Santos,USA,MF,Charlotte,22,1,56,0,0,0.655,42
Kortne Ford,USA,DF,Sporting KC,26,14,807,0,0,1.5,40
Kosi Thompson,CAN,DF,Toronto FC,19,24,1620,1,1,0.655,34
Kristijan Kahlina,CRO,GK,Charlotte,29,31,2790,0,0,4.25,42
Kwadwo Opoku,GHA,FW,Los Angeles FC,20,34,1770,7,2,0.92,67
Kyle Duncan,USA,DF,NY Red Bulls,24,9,593,0,0,2.68212,53
Kyle Smith,USA,DF,Orlando City,30,29,1388,2,0,1.2858,48
Lalas Abubakar,GHA,DF,Colorado Rapids,27,32,2522,4,1,2.35,43
Larrys Mabiala,COD,DF,Portland Timbers,34,21,1561,0,1,4.5,46
Lassi Lappalainen,FIN,DF,CF Montréal,23,28,1928,3,5,5.1,65
Latif Blessing,GHA,MF,Los Angeles FC,25,30,1334,0,1,4,67
Leon Flach,USA,MF,Philadelphia,20,34,2745,0,2,2.5,67
Leonard Owusu,GHA,MF,Vancouver,24,19,877,0,0,3.5,43
Leonardo Campana,ECU,FW,Inter Miami,21,26,1585,11,1,0.84,48
Lewis Morgan, SCO,FW,NY Red Bulls,25,32,2659,14,3,6.5,53
Logan Ndenbe,BEL,DF,Sporting KC,21,22,1753,0,0,3.5,40
Lorenzo Insigne,ITA,FW,Toronto FC,30,11,926,6,2,140,34
Luca Petrasso,CAN,DF,Toronto FC,21,23,1679,0,2,0.655,34
Lucas Cavallini,CAN,FW,Vancouver,29,24,1516,9,1,12,43
Lucas Esteves,BRA,DF,Colorado Rapids,21,30,2270,1,2,3.73032,43
Lucas Zelarayán,ARM,MF,Columbus Crew,29,29,2316,10,7,31,46
Luciano Acosta,ARG,MF,FC Cincinnati,27,30,2491,10,12,19.435,49
Luis Amarilla,PAR,FW,Minnesota Utd,26,33,2349,9,4,6.5,48
Luis Díaz,CRC,FW,Columbus Crew,23,26,1531,3,5,3.75,46
Luiz Araújo,BRA,FW,Atlanta Utd,25,28,2189,4,5,36,40
Lukas MacNaughton,CAN,DF,Toronto FC,26,25,1787,0,0,0.84,34
Luke Haakenson,USA,MF,Nashville,24,25,597,0,3,0.84,50
Luquinhas,BRA,MF,NY Red Bulls,25,30,1937,5,3,10.5,53
Luís Martins,POR,DF,Vancouver,29,12,471,0,0,3,43
Léo Chú,BRA,FW,Seattle,21,25,817,0,2,5.5,41
Maarten Paes,NED,GK,FC Dallas,23,32,2880,0,0,1.5,53
